,market_hash_name,avg_index_share,std_index_share,quantity
70,AUG | Carved Jade (Factory New),0.0002707622155257308,1.6037791438044654e-05,403
71,AUG | Death by Puppy (Factory New),0.0001824391689831107,1.0485660183409419e-05,171
72,AUG | Midnight Lily (Factory New),0.002033533836080496,0.00013901502908692277,103
73,AUG | Wings (Factory New),0.0006130837111570088,5.4377472409797815e-05,391
74,AWP | Asiimov (Battle-Scarred),0.005736786407686499,0.00016829746025958693,781
75,AWP | Asiimov (Field-Tested),0.012659355031120142,0.0003574683834492087,984
76,AWP | Asiimov (Well-Worn),0.0018146873045377296,4.808297356097371e-05,186
77,AWP | BOOM (Field-Tested),0.0012370404874975777,4.128749088073434e-05,172
78,Antwerp 2022 Dust II Souvenir Package,0.00028796734469222667,8.773346208891042e-05,498
79,CS:GO Weapon Case,0.002598102039016405,0.00016361248995356065,395
80,CZ75-Auto | Emerald (Factory New),0.0003855940831504779,2.0396724770492543e-05,271
81,D Squadron Officer | NZSAS,0.00018953493572662581,3.5056636090039234e-05,195
82,Desert Eagle | Blaze (Factory New),0.010122416507760338,0.0002458593607358573,179
83,Desert Eagle | Cobalt Disruption (Factory New),0.0034488496711515366,9.729709220439446e-05,549
84,Desert Eagle | Cobalt Disruption (Minimal Wear),0.0005809655079545556,1.732261651791586e-05,116
85,Desert Eagle | Code Red (Factory New),0.0011446293097824357,3.427313951784942e-05,165
86,Desert Eagle | Code Red (Field-Tested),0.0008270614838041031,4.1998618765217036e-05,337
87,Desert Eagle | Code Red (Minimal Wear),0.0004417222345077802,1.3453595177718352e-05,118
88,Desert Eagle | Code Red (Well-Worn),0.00037004400819984053,1.82228241305227e-05,190
89,Desert Eagle | Crimson Web (Minimal Wear),0.0014767705290929807,7.77817995181448e-05,685
90,Desert Eagle | Emerald Jörmungandr (Factory New),0.002458509872317754,0.00010498311002015986,115
91,Desert Eagle | Golden Koi (Factory New),0.0010053693579545212,3.253154610939117e-05,260
92,Desert Eagle | Hypnotic (Factory New),0.0020695301021871814,7.92294883920192e-05,201
93,Desert Eagle | Kumicho Dragon (Factory New),0.0004557366557159577,2.3825012252165967e-05,172
94,Desert Eagle | Kumicho Dragon (Field-Tested),0.0010005898130670667,4.8531961428901674e-05,814
95,Desert Eagle | Kumicho Dragon (Minimal Wear),0.00042610419867682365,2.4873366522046577e-05,269
96,Desert Eagle | Midnight Storm (Factory New),0.0011413505424612035,8.460526059880562e-05,538
97,Desert Eagle | Ocean Drive (Battle-Scarred),0.00020484687506259369,2.100293484669943e-05,172
98,Desert Eagle | Ocean Drive (Field-Tested),0.0007183275072010254,4.808117852247626e-05,376
99,Desert Eagle | Ocean Drive (Well-Worn),0.0002263307129737418,1.7671301307129618e-05,162
100,Desert Eagle | Printstream (Battle-Scarred),0.0024608545029243837,9.82304296227377e-05,595
101,Desert Eagle | Printstream (Factory New),0.0019854052497658534,5.6026641104640975e-05,163
102,Desert Eagle | Printstream (Field-Tested),0.007569333130978197,0.00021182742199211713,1383
103,Desert Eagle | Printstream (Minimal Wear),0.003798396373725934,0.00010514341610038535,509
104,Desert Eagle | Printstream (Well-Worn),0.0006851729116062636,1.9544519180377693e-05,133
105,Dual Berettas | Emerald (Factory New),0.00045902338447285896,2.3002981699884982e-05,242
106,ESL One Cologne 2014 Challengers,0.000980798221314917,6.95390234049475e-05,211
