,id,rank,name,symbol,slug,is_active,first_historical_data,last_historical_data,platform,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address
0,17849,3197,RankerDAO,RANKER,rankerdao,1,2022-02-25T03:05:00.000Z,2023-06-26T12:25:00.000Z,,,,,,
0,17852,1532,Geojam Token,JAM,geojam-token,1,2022-03-31T22:38:00.000Z,2023-06-26T12:28:00.000Z,,1027.0,Ethereum,ETH,ethereum,0x23894DC9da6c94ECb439911cAF7d337746575A72
0,17856,4232,Stripto,STRIP,stripto,1,2022-02-04T08:09:00.000Z,2023-06-26T12:29:00.000Z,,1839.0,BNB,BNB,bnb,0xa1ac3b22b102caa62c9ecaf418585528855b0ddd
0,17859,4360,Teddy Doge,Teddy V2,teddydoge,1,2022-02-04T16:48:00.000Z,2023-06-26T12:28:00.000Z,,1839.0,BNB,BNB,bnb,0xDB79c12d1d0670988A39B0E48b96e955eF922d24
0,17861,5741,DogeKing,DOGEKING,dogeking,1,2022-02-04T10:39:00.000Z,2023-06-26T12:29:00.000Z,,1839.0,BNB,BNB,bnb,0x641ec142e67ab213539815f67e4276975c2f8d50
0,17874,1913,Metaverse VR,MEVR,metaversevr,1,2022-02-06T04:42:00.000Z,2023-06-26T12:27:00.000Z,,1839.0,BNB,BNB,bnb,0xdde3ed0bb77c1cafabf8b38f9a1e81edddc7ddc9
0,17876,5627,FONE,FONE,fone,1,2022-02-06T01:11:00.000Z,2023-06-26T12:26:00.000Z,,5426.0,Solana,SOL,solana,ATZERmcPfopS9vGqw9kxqRj9Bmdi3Z268nHXkGsMa3Pf
0,17879,3471,Nexus Dubai,NXD,nexus-dubai,1,2022-02-06T14:50:00.000Z,2023-06-26T12:25:00.000Z,,3890.0,Polygon,MATIC,polygon,0x228b5c21ac00155cf62c57bcc704c0da8187950b
0,17887,8630,ShibaNFT,SHIBANFT,shibanft,1,2022-02-18T08:47:00.000Z,2023-06-26T12:27:00.000Z,,,,,,
0,17888,8153,Crypto Inu,ABCD,crypto-inu,1,2022-02-07T03:06:00.000Z,2023-06-26T12:26:00.000Z,,1839.0,BNB,BNB,bnb,0xa0cc3a881aef241d6cb3b7db3168bd26094560be
0,17893,9452,Carbon,CO2,carbon-co2,1,2022-02-07T05:53:00.000Z,2023-06-26T12:28:00.000Z,,1839.0,BNB,BNB,bnb,0xF0d35f96Ad8CEfcA54e048bF1569B5Fd94C27dc1
0,17899,9453,ICHELLO Music & Technology,ELLO,ichello-music-technology,1,2022-02-07T07:20:00.000Z,2023-06-26T12:25:00.000Z,,1839.0,BNB,BNB,bnb,0xb4cc9fcc99673661cb0727891693ad7ecbb94507
